"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Cam.id","Setup.crew","General.location","Comments","Carcass.age","Carcass.sex","Pumas","Species","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m) Pumas","Total Feeding Time (m) Black Bears","Total Feeding Time (m) Scavengers"
"14M_25Jul19","2019-07-25","2019-08-27","2019-07-25 10:41:16","2019-08-15 09:53:47",33,20.967025462963,175,"14M",41.12368,-121.58754,"Mule Deer","61","JH, CB","Dana","No sign of 14M, very close to the XR6 set the prvious day but definitely a different fawn kill, human tracks on road within 200m of cluster (maybe closer)","Fawn","Unknown","14M","UNKNOWN; BEAR black; SKUNK striped; MOUSE; SQUIRREL Douglas; DEER Mule; PUMA",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,8,2,3,0,0,0,0,8,78.99,0,15.798,0,24.7305492256035,0,1.3165,13.0962833333333,0
"14M_5Jun19","2019-06-05","2019-08-27","2019-06-05 15:33:43","2019-06-26 23:53:40",83,21.3471875,347,"14M",41.02301,-121.4519,"Mule Deer","58","EW, PR","Fall River Lake","No sign of 14M","Yearling","Male","14M","UNKNOWN; LAGOMORPH; SQUIRREL Douglas; MAGPIE; SKUNK striped; SQUIRREL California ground; COYOTE; PUMA",8,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,103.245,0,51.6225,0,31.9096077146053,0,1.72075,0,2.43375
"14M_6Jan20","2020-01-06","2020-02-06",NA,NA,31,NA,0,"14M",41.01297,-121.56914,"Mule Deer","65","EW,JK","Lake Britton","Heard 14M on reciever but no sign of him as we approached. Parasite in mouth of deer, photo online","Yearling","Male",NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"14M_7Jun19","2019-06-07","2019-08-27","2019-06-07 16:59:44","2019-06-28 11:08:52",81,20.7563425925926,58,"14M",41.02781,-121.4488,"Mule Deer","64","WB, JA","Fall River Lake","Same buck carcass EW deployed XR6 on two days prior. No sign of 14M.","Yearling","Male","14M","UNKNOWN; MAGPIE; BIRD (other); LAGOMORPH; SQUIRREL California ground; PUMA",6,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,62.487,0,12.4974,0,9.79491629877458,0,1.04145,0,0
"1F_12Jan18","2018-01-12","2018-02-08","2018-01-12 09:36:01","2018-01-15 20:25:29",27,3.45101851851852,747,"1F",41.66657,-122.06717,"Mule Deer","59","WB, EL","Deer Mt","No sign of 1F or kitten when deploying camera.","Adult","Male","KITTEN1; 1F","UNKNOWN; EAGLE golden; PUMA",3,1,FALSE,FALSE,FALSE,FALSE,TRUE,53,0,4,0,1,0,4,33,0,9,0,0,0,2,86,5126.52,2986.242,62.5185365853659,27.9088037383178,62.3283581138258,26.6679746836026,135.2127,0,4.71075
"1F_12Jan19","2019-01-12","2019-02-05","2019-01-12 13:10:49","2019-02-01 19:37:58",24,20.2688541666667,408,"1F",41.67768,-122.04017,"Mule Deer","51","JH, AC","Horsetheif butte","did not see 1F, no fresh tracks either. also I forgot to take coordinates like a goober so I'll pick it up","Fawn","Male","1F; 9F","UNKNOWN; FOX gray; LAGOMORPH; SKUNK western spotted; PUMA",5,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,32,20,31,0,3,0,0,32,2087.264,0,59.6361142857143,0,55.9778788486874,0,34.7877333333333,0,3.37638333333333
"1F_12Jun18","2018-06-12","2018-08-19","2018-06-12 18:06:33","2018-07-03 13:14:50",68,20.7974189814815,298,"1F",41.46673,-121.92027,"Mule Deer","52","EW, LV","Hemlock Ridge","","Adult","Female","1F","UNKNOWN; MOUSE; SQUIRREL golden-mantled ground; REPTILE; BEAR black; BIRD (other); PUMA",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,1.54396666666667,0.00691666666666667
"1F_13Dec17","2017-12-13","2018-01-07","2017-12-13 09:45:58","2018-01-02 20:18:08",25,20.4390046296296,309,"1F",41.49437,-122.16843,"Mule Deer","57","RL, EL","Military Pass Road","Head missing when XR-6 was set","Adult","Female","PUMA unidentifiable; KITTEN1; 1F","UNKNOWN; COYOTE; PUMA",3,1,FALSE,FALSE,FALSE,TRUE,TRUE,3,6,0,0,0,0,1,8,14,0,0,2,0,1,11,108.833,143.367,54.4165,71.6835,68.1177175520437,59.7738575340424,4.20333333333333,0,9.2582
"1F_13Feb18","2018-02-13","2018-03-18","2018-02-13 11:20:52","2018-03-05 03:11:57",33,19.660474537037,124,"1F",41.64238,-121.76247,"Mule Deer","","RL, WB","Hill 22","","Adult","Male","KITTEN1; 1F; PUMA unidentifiable","UNKNOWN; BOBCAT; FOX gray; DEER Mule; PUMA",5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,1,1,0,0,0,0,1,0,1,0,0,0,0,4,88.195,19.485,17.639,6.495,16.9940766151033,3.92638663404408,1.79466666666667,0,2.32665
"1F_13May17","2017-05-13","2017-07-09","2017-05-13 13:11:01","2017-05-17 09:34:05",57,3.84935185185185,1807,"1F",41.58961,-122.12204,"Mule Deer","","BC, RL","Deer Mt","HW & BC picked up","Adult","Female","KITTEN1; 1F","UNKNOWN; CHIPMUNK; RAVEN common; BIRD (other); MOUSE; LAGOMORPH; SQUIRREL Douglas; BEAR black; PUMA",9,1,FALSE,TRUE,FALSE,FALSE,TRUE,41,38,3,4,3,0,29,32,18,15,2,2,0,2,73,3735.07,5911.945,46.688375,45.1293511450382,47.6740866048258,54.3824007937415,160.783583333333,79.4047,55.4090166666667
"1F_13May18","2018-05-13","2018-06-06","2018-05-13 11:25:09","2018-06-03 16:13:11",24,21.2000231481481,1417,"1F",41.6668,-122.00352,"Mule Deer","60","EL, EW","Dead Steer","1F not present on approach ","Adult","Male","1F; 3M; PUMA unidentifiable","UNKNOWN; MOUSE; RAVEN common; SQUIRREL western gray; VULTURE turkey; COYOTE; PUMA",7,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,120,2,67,1,8,4,0,120,14439.035,0,52.5055818181818,0,65.4103824518124,0,240.650583333333,0,20.6003333333333
"1F_13Nov17","2017-11-13","2017-12-11","2017-11-13 11:43:48","2017-12-04 23:54:15",28,21.5072569444444,1114,"1F",41.54979,-122.05113,"Mule Deer","53","BC, EL","EJ Louie / Fruit Growers","Cache approx. 30 m from road. 2 logging trucks drove by as we were setting the camera (we kept hidden). No sign of 1F or kitten upon approach ","Adult","Female","KITTEN1; 1F; PUMA unidentifiable","UNKNOWN; FOX gray; BEAR black; RAVEN common; COYOTE; PUMA",6,1,FALSE,TRUE,FALSE,TRUE,TRUE,53,34,10,1,7,0,40,42,15,11,0,6,0,15,95,744.406,2250.272,25.6691724137931,25.2839550561798,22.36535107046,28.3766937063236,49.9113,55.82555,8.40198333333333
"1F_15Oct17","2017-10-15","2017-11-16","2017-10-15 13:05:50","2017-11-05 07:46:11",32,20.7780208333333,765,"1F",41.45062,-121.89448,"Mule Deer","59","BC, WB","Trout Creek Campground","No sign of 1F or kitten when approaching carcass. ","Fawn","Male","KITTEN1; 1F","UNKNOWN; GOSHAWK northern; MOUSE; SQUIRREL golden-mantled ground; SQUIRREL western gray; LAGOMORPH; BEAR black; JAY Stellar's; COYOTE; COW domestic; PUMA",11,1,FALSE,TRUE,FALSE,TRUE,TRUE,36,3,0,3,0,0,3,16,1,0,3,0,0,0,52,931.642,1852.807,46.5821,37.812387755102,46.1637392502863,36.759399409548,46.4074833333333,13.952,30.4444
"1F_18May18","2018-05-18","2018-06-10","2018-05-18 14:38:54","2018-05-27 19:54:07",23,9.21890046296296,1717,"1F",41.58072,-122.0316,"Mule Deer","57","WB, JK","West Haight","No sign of 1F or kitten upon approach, although we did hear her on the omni.","Adult","Male","1F","UNKNOWN; CHIPMUNK; BIRD (other); RAVEN common; BEAR black; VULTURE turkey; PUMA",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,126,46,86,0,36,0,0,126,9587.361,0,66.5788958333333,0,89.0979446073522,0,159.78935,103.758583333333,45.7613833333333
"1F_1Aug17","2017-08-01","2017-09-01","2017-08-01 10:48:53","2017-08-22 11:28:16",31,21.027349537037,404,"1F",41.50375,-121.99255,"Mule Deer","58","RL, JD","","RL & EL picked up and did veg","Adult","Male",NA,"UNKNOWN; BEAR black; BIRD (other); COYOTE; CHIPMUNK; SQUIRREL golden-mantled ground",6,0,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,10.0099333333333,0.0489333333333333
"1F_23Apr19","2019-04-23","2019-06-03","2019-04-23 11:36:49","2019-05-12 12:02:39",41,19.0179398148148,612,"1F",41.62199,-121.96341,"Mule Deer","53","WB, HS","S of Orr Mt","No sign of 1F; controlled burn going on by USFS in area, getting as close as ~75m from kill but upslope above escarpment. I confirmed they were burning at this site.","Yearling","Male","1F","UNKNOWN; VULTURE turkey; RAVEN common; BEAR black; MOUSE; CHIPMUNK; COYOTE; PUMA",8,0,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,32,0,22,0,0,0,0,32,2981.603,0,60.8490408163265,0,79.2401654163255,0,49.6933833333333,23.59425,11.9593666666667
"1F_23Mar18","2018-03-23","2018-04-14","2018-03-23 13:29:56","2018-04-13 10:50:50",22,20.9311805555556,334,"1F",41.74143,-122.04961,"Mule Deer","60","WB, guest","Mt Hebron","No sign of 1F or kitten when deploying camera.","Adult","Male","KITTEN1; 1F; 3M","UNKNOWN; COYOTE; SQUIRREL golden-mantled ground; VULTURE turkey; CHIPMUNK; MOUSE; BIRD (other); PUMA",8,1,FALSE,FALSE,FALSE,TRUE,TRUE,7,1,0,0,0,0,0,9,0,3,0,0,0,0,16,229.328,131.058,28.666,18.7225714285714,20.8026595071743,11.3762219835518,6.00643333333333,0,63.9094333333333
"1F_25Jul18","2018-07-25","2018-09-03","2018-07-25 13:51:01","2018-08-15 16:44:45",40,21.1206481481481,901,"1F",41.51025,-122.04816,"Mule Deer","53","JK, TS","Ulcer Point ","No sign of 1F","Fawn","Male","1F","UNKNOWN; SQUIRREL western gray; SQUIRREL Douglas; BEAR black; CHIPMUNK; MOUSE; BIRD (other); LAGOMORPH; DEER Mule; JAY Stellar's; PUMA",11,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,8,0,9,0,0,0,0,8,702.165,0,39.0091666666667,0,41.1807575527411,0,11.70275,50.9813166666667,0
"1F_25Mar19","2019-03-25","2019-04-17","2019-03-25 13:00:10","2019-04-09 13:56:24",23,15.0807175925926,29,"1F",41.62046,-121.95521,"Mule Deer","53","WB, HS","S of Orr Mt","No sign of 1F; fresh snow present and no tracks found so unlikely we bumped her.","Fawn","Male",NA,"UNKNOWN; DEER Mule; BIRD (other); COYOTE",4,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0.148766666666667
"1F_26Apr18","2018-04-26","2018-05-18","2018-04-26 12:13:19","2018-05-17 13:00:05",22,21.0324768518519,66,"1F",41.62294,-121.93244,"Mule Deer","56","WB, EL","Tennant","Bumped 1F and kitten about 30 seconds apart. Both were ~40m away and trotted away.","Adult","Female","KITTEN1; 1F","UNKNOWN; BEAR black; COYOTE; SQUIRREL Douglas; SQUIRREL California ground; SQUIRREL golden-mantled ground; PUMA",7,1,FALSE,TRUE,FALSE,TRUE,TRUE,4,0,2,0,1,0,2,1,0,1,1,0,0,1,5,0,0,0,0,NA,NA,0,1.54698333333333,1.04178333333333
"1F_28Aug18","2018-08-28","2018-10-01","2018-08-28 09:49:49","2018-09-18 14:04:28",33,21.1768402777778,747,"1F",41.56622,-121.94902,"Mule Deer","52","WB, JH","Tennant","No sign of 1F; weird possible kill site here... JH or WB should probably retrieve cam","Fawn","Unknown","1F; PUMA uncollared","UNKNOWN; CHIPMUNK; SQUIRREL Douglas; SQUIRREL California ground; BIRD (other); THRUSH varied; VULTURE turkey; FOX gray; BEAR black; SKUNK striped; PUMA",11,0,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,27,0,2,0,0,0,0,27,3817.961,0,76.35922,0,88.6166204727524,0,63.6326833333333,54.84485,32.2017
"1F_30Apr19","2019-04-30","2019-06-03",NA,NA,34,NA,0,"1F",41.65472,-122.06111,"Mule Deer","60","JK, WB","Deer Mt","Carcass anchored to stake. Kill site found","Adult","Female",NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"1F_30Mar19","2019-03-30","2019-04-25","2019-03-30 12:05:27","2019-04-20 23:46:21",26,21.5284027777778,472,"1F",41.68568,-122.00289,"Mule Deer","60","EW, SS","Mt Hebron","1F and 9F heard on omni","Adult","Female","1F; PUMA uncollared","UNKNOWN; SQUIRREL western gray; LAGOMORPH; COYOTE; VULTURE turkey; RAVEN common; MOUSE; BEAR black; PUMA",9,0,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,38,4,47,0,4,1,0,38,1101.55,0,23.9467391304348,0,20.6494931553992,0,18.3591666666667,4.37521666666666,5.06168333333333
"1F_30Sep17","2017-09-30","2017-10-31","2017-09-30 13:00:58","2017-10-21 20:33:08",31,21.3140046296296,855,"1F",41.37417,-122.1265,"Mule Deer","56","BC, EL","Clear Creek Trailhead","Heard noise upslope while searching for carcass. Suspect 1F. No kitten tracks obvious - but could be deceiving due to substrate and current kitten size. Carcass consumption needs to be updated for deployment.","Adult","Female","KITTEN1; 1F","UNKNOWN; JAY Stellar's; BEAR black; BIRD (other); THRUSH varied; RAVEN common; SQUIRREL Douglas; OTHER; MOUSE; PUMA",10,1,FALSE,TRUE,FALSE,FALSE,TRUE,12,5,0,3,15,0,1,30,33,9,1,2,0,1,42,2394.046,2446.531,45.170679245283,46.1609622641509,46.8664485741434,63.3393440952906,80.6762833333333,23.7687333333333,0.2803
"1F_31Aug18","2018-08-31","2018-10-01",NA,NA,30,NA,0,"1F",41.56397,-121.97775,"Unknown","55","WB, EW","West Haight","Bumped 1F when we got w/ in 5m of her. We could not see her because she was in the middle of a shrub thicket. Likely she has kittens in there, as we were in the area for 10-15 min, w/in 25m of her, before she actually left. We yelled a bit when she first started moving (didn't know if she was coming at us or not), but then talked in normal voices as she trotted away.","Unknown","Unknown",NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"1F_4Feb19","2019-02-04","2019-03-29","2019-02-04 14:01:16","2019-02-07 04:26:59",53,2.60119212962963,240,"1F",41.72184,-121.91762,"Mule Deer","58","WB, VSZ","Cedar Mt","Likely bumped 1F. It was snowing most of the day, but we found her bed site uphill of the carcass that was still warm and snowless. Her tracks leading away from the bed site revealed that she ran for a bit in the opposite direction of our approach.","Adult","Female","1F; 9F","UNKNOWN; PUMA",2,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,68,0,21,0,0,0,0,68,2120.63,0,31.6511940298507,0,33.079853046575,0,35.3438333333333,0,0
"1F_4Nov17","2017-11-04","2017-11-27","2017-11-04 11:52:20","2017-11-07 18:20:05",23,3.26927083333333,1128,"1F",41.49337,-122.01114,"Mule Deer","60","WB, RL","Hart's Meadow","Lion tracks in snow sitting down and pointing in the direction we walked down the hill towards kill suggest we may have bumped them. Tracks show lion walking away from the area. Carcass use needs to be changed for deployment.","Adult","Female","KITTEN1; 1F; KITTEN2","UNKNOWN; PUMA",2,2,FALSE,FALSE,FALSE,FALSE,TRUE,81,0,2,0,0,0,5,48,0,8,0,0,0,0,129,6413.12,9946.482,66.1146391752577,62.5564905660377,86.2941399503738,95.0061350233461,272.660033333333,0,0
"1F_7Jan18","2018-01-07","2018-02-01","2018-01-07 13:30:24","2018-01-15 21:23:08",25,8.32828703703704,41,"1F",41.51418,-122.11582,"Mule Deer","53","WB, EL","Whaleback","1F not present during XR6 deployment, bird scat found, no other scavanger sign","Adult","Female","KITTEN1; 1F","UNKNOWN; RAVEN common; COYOTE; PUMA",4,1,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,1,2,0,0,0,0,0,0,1,0,0,0,3,0,35.407,0,11.8023333333333,0,6.80866421064612,0.590116666666667,0,0.201633333333333
"1F_7Oct17","2017-10-07","2017-11-02","2017-10-07 15:21:54","2017-10-27 13:40:29",26,19.9295717592593,1235,"1F",41.52923,-122.13148,"Mule Deer","54","WB, EL","Whaleback","No sign of 1F or kitten when approaching carcass. Lion tracks found leading away from carcass down hill to the road where 2 lions walked for a bit. Scavenger sign notes for retrieval need to be included.","Adult","Female","KITTEN1; 1F","UNKNOWN; JAY Stellar's; BIRD (other); COYOTE; SQUIRREL Douglas; RAVEN common; PUMA",7,1,FALSE,FALSE,FALSE,TRUE,TRUE,16,14,1,0,1,0,7,12,45,3,0,7,0,1,28,63.819,2158.737,7.977375,53.968425,5.80715841348294,63.6382255010093,37.0426,0,111.618283333333
"1F_9Apr19","2019-04-09","2019-06-07","2019-04-09 10:59:08","2019-04-29 14:45:44",59,20.1573611111111,910,"1F",41.62264,-122.04295,"Mule Deer","52","WB, DG","West Haight","No sign of 1F; fresh snow (from the morning) present and no tracks found so unlikely we bumped her.","Adult","Female","1F","UNKNOWN; BEAR black; COYOTE; SQUIRREL golden-mantled ground; THRUSH varied; PUMA",6,0,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,42,1,53,0,2,0,0,42,4209.414,0,47.2967865168539,0,50.2180620923008,0,70.1569,78.02815,0.2209
"3M_10Jan18","2018-01-10","2018-02-01","2018-01-10 11:38:45","2018-01-30 20:21:06",22,20.3627430555556,840,"3M",41.67625,-121.95307,"Mule Deer","57","RL, EL","Orr Mt","Deer emanciated","Adult","Male","3M; PUMA uncollared","UNKNOWN; RAVEN common; SKUNK striped; COYOTE; SKUNK western spotted; EAGLE golden; MAGPIE; PUMA",8,0,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,54,2,50,0,10,0,1,54,8069.342,0,71.4101061946903,0,108.312676628111,0,134.489033333333,0,10.2152833333333
"3M_11Feb18","2018-02-11","2018-03-15","2018-02-11 15:04:07","2018-03-04 11:49:14",32,20.8646643518519,607,"3M",41.68592,-121.97805,"Mule Deer","60","WB, EL","Orr Mt","No sign of 3M when deploying cam. His VHF signal was loud on the omni, though.","Adult","Male","3M","UNKNOWN; BIRD (other); MAGPIE; COYOTE; ROBIN American; HUMAN; FLICKER northern; PUMA",8,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,21,0,18,0,0,0,0,21,1601.526,0,50.0476875,0,47.0625849881853,0,26.6921,0,46.0896333333333
"3M_19Oct18","2018-10-19","2018-12-03","2018-10-19 14:25:16","2018-10-23 10:13:11",45,3.82494212962963,2177,"3M",41.70001,-121.98615,"Mule Deer","58","JK, JH","Mount Hebron","Bumped 3M on approach; camera is screwed to a tree, bring a nut tool ","Adult","Unknown","3M","UNKNOWN; MOUSE; MAGPIE; COYOTE; RAVEN common; PUMA",6,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,86,14,70,3,5,0,0,86,10586.2,0,58.1659340659341,0,68.1689974459887,0,176.436666666667,0,458.773333333333
